JobTitle,CompanyURL2,CompanyId,CompanyName,SalaryInsights,NoOfApplicants,CompanyLocation,EmploymentStatus,ExperienceLevel,Industries,Benefits,JobPostingUrl,PostedDate
Data Center Engineer,https://www.linkedin.com/company/dice,6849,Dice,,10.0,"Santa Clara, CA",Full-time,Entry level,Software Development,,https://www.linkedin.com/jobs/view/3968175595/?trk=jobs_biz_prem_srch,2024-07-11 03:27:51+00:00
Senior Data Scientist,https://www.linkedin.com/company/sofi,2301992,SoFi,,85.0,"San Francisco, CA",Full-time,,Financial Services,,https://www.linkedin.com/jobs/view/3972730804/?trk=jobs_biz_prem_srch,2024-07-10 22:30:25+00:00
Staff Data Engineer ,https://www.linkedin.com/company/novara-partners,102083603,Novara Partners,,26.0,"San Jose, CA",Full-time,,,,https://www.linkedin.com/jobs/view/3969568106/?trk=jobs_biz_prem_srch,2024-07-11 01:26:35+00:00
Senior Data Engineer,https://www.linkedin.com/company/jobot,18860134,Jobot,,7.0,"Carlsbad, CA",Full-time,,"IT Services and IT Consulting, Software Development",401(k),https://www.linkedin.com/jobs/view/3971691800/?trk=jobs_biz_prem_srch,2024-07-10 22:05:00+00:00
Staff Data Platform Engineer ,https://www.linkedin.com/company/xiaopeng-motors,13410267,XPENG,,13.0,"Santa Clara, CA",Full-time,Associate,Motor Vehicle Manufacturing,,https://www.linkedin.com/jobs/view/3969554849/?trk=jobs_biz_prem_srch,2024-07-10 22:26:50+00:00
 (Sr.) Data Analyst,https://www.linkedin.com/company/bigo-technology-pte.-ltd.,13251179,BIGO,,49.0,Los Angeles Metropolitan Area,Full-time,Mid-Senior level,"Technology, Information and Media, Software Development, Entertainment Providers",,https://www.linkedin.com/jobs/view/3969968847/?trk=jobs_biz_prem_srch,2024-07-11 08:26:03+00:00
Data Scientist,https://www.linkedin.com/company/capital-group,4019,Capital Group,,10.0,"Los Angeles, CA",Full-time,,"Financial Services, Investment Management",,https://www.linkedin.com/jobs/view/3972312430/?trk=jobs_biz_prem_srch,2024-07-11 08:59:28+00:00
"Data Engineer, Product Analytics",https://www.linkedin.com/company/meta,10667,Meta,,32.0,"Menlo Park, CA",Full-time,,"Technology, Information and Internet",,https://www.linkedin.com/jobs/view/3953548624/?trk=jobs_biz_prem_srch,2024-07-11 09:29:24+00:00
Staff Data Scientist,https://www.linkedin.com/company/intuit,1666,Intuit,,35.0,"Mountain View, CA",Full-time,Mid-Senior level,Software Development,,https://www.linkedin.com/jobs/view/3954767172/?trk=jobs_biz_prem_srch,2024-07-11 10:12:39+00:00
Senior Data Engineer,https://www.linkedin.com/company/applicantz-com,24629,Applicantz,,34.0,"San Francisco, CA",Contract,Mid-Senior level,"Technology, Information and Internet",,https://www.linkedin.com/jobs/view/3972774627/?trk=jobs_biz_prem_srch,2024-07-11 00:36:45+00:00
Data Scientist - Computer Games,https://www.linkedin.com/company/lumicity,79500056,Lumicity,,66.0,"Los Angeles, CA",Full-time,Mid-Senior level,"Computer Games, Data Infrastructure and Analytics, Software Development",,https://www.linkedin.com/jobs/view/3969557363/?trk=jobs_biz_prem_srch,2024-07-10 22:46:37+00:00
Principal Data Analyst,https://www.linkedin.com/company/new-relic-inc-,426253,New Relic,,12.0,"Los Angeles, CA",Full-time,Mid-Senior level,"Software Development, Technology, Information and Internet",401(k),https://www.linkedin.com/jobs/view/3969560336/?trk=jobs_biz_prem_srch,2024-07-10 23:03:56+00:00
"Data Engineer, Product Analytics",https://www.linkedin.com/company/meta,10667,Meta,,37.0,"Burlingame, CA",Full-time,,"Technology, Information and Internet",,https://www.linkedin.com/jobs/view/3953547785/?trk=jobs_biz_prem_srch,2024-07-11 10:49:19+00:00
"Data Engineer, Product Analytics",https://www.linkedin.com/company/meta,10667,Meta,,76.0,"Los Angeles, CA",Full-time,,"Technology, Information and Internet",,https://www.linkedin.com/jobs/view/3953546939/?trk=jobs_biz_prem_srch,2024-07-11 10:59:50+00:00
Research Data Analyst I (GIS),https://www.linkedin.com/company/calfirecareers,14790337,California Department of Forestry and Fire Protection (CAL FIRE),,11.0,"Sacramento, CA",Full-time,Mid-Senior level,Government Administration,,https://www.linkedin.com/jobs/view/3972740039/?trk=jobs_biz_prem_srch,2024-07-10 23:05:20+00:00
Senior Data Analyst,https://www.linkedin.com/company/robert-half-international,1681,Robert Half,,270.0,"Los Angeles, CA",Full-time,Mid-Senior level,Staffing and Recruiting,,https://www.linkedin.com/jobs/view/3969527832/?trk=jobs_biz_prem_srch,2024-07-10 17:53:35+00:00
"Data Engineer, Analytics",https://www.linkedin.com/company/meta,10667,Meta,,113.0,"Burlingame, CA",Full-time,,"Technology, Information and Internet",,https://www.linkedin.com/jobs/view/3953549692/?trk=jobs_biz_prem_srch,2024-07-11 09:13:29+00:00
Data Scientist,https://www.linkedin.com/company/req-solutions-pvt-ltd,13613470,REQ Solutions,,71.0,"San Francisco, CA",Contract,Mid-Senior level,Software Development,,https://www.linkedin.com/jobs/view/3972574242/?trk=jobs_biz_prem_srch,2024-07-10 20:21:27+00:00
Data Engineer,https://www.linkedin.com/company/security-industry-specialists-inc,1368805,Security Industry Specialists,,,"Cupertino, CA",Full-time,Entry level,Security and Investigations,401(k),https://www.linkedin.com/jobs/view/3972931574/?trk=jobs_biz_prem_srch,2024-07-11 04:37:19+00:00
"Data Engineer, Product Analytics",https://www.linkedin.com/company/meta,10667,Meta,,45.0,"Los Angeles, CA",Full-time,,"Technology, Information and Internet",,https://www.linkedin.com/jobs/view/3953547770/?trk=jobs_biz_prem_srch,2024-07-11 09:40:15+00:00
Senior Data Analyst,https://www.linkedin.com/company/abridgehq,28987090,Abridge,,,"San Francisco, CA",Full-time,Mid-Senior level,Hospitals and Health Care,,https://www.linkedin.com/jobs/view/3972575540/?trk=jobs_biz_prem_srch,2024-07-10 20:42:11+00:00
"Software Engineer III, Wireless Data Analytics Engineer, Pixel",https://www.linkedin.com/company/google,1441,Google,,4.0,"Mountain View, CA",Full-time,,"Information Services, Technology, Information and Internet",,https://www.linkedin.com/jobs/view/3969558107/?trk=jobs_biz_prem_srch,2024-07-10 22:37:47+00:00
Data Engineer,https://www.linkedin.com/company/bonfy-ai,101026923,Bonfy.AI,,,"Mountain View, CA",Full-time,Mid-Senior level,Data Security Software Products,,https://www.linkedin.com/jobs/view/3969569007/?trk=jobs_biz_prem_srch,2024-07-11 01:20:51+00:00
Junior Data Scientist (Remote),https://www.linkedin.com/company/synergisticit,66321745,SynergisticIT,,,"Los Angeles, CA",Full-time,Entry level,IT Services and IT Consulting,,https://www.linkedin.com/jobs/view/3971458724/?trk=jobs_biz_prem_srch,2024-07-10 18:08:50+00:00
"Principal Data Engineer – Supply Chain, Manufacturing and Finance",https://www.linkedin.com/company/shockwave-medical,6367266,Shockwave Medical,,2.0,"Santa Clara, CA",Full-time,Mid-Senior level,Medical Equipment Manufacturing,"401(k), Disability insurance",https://www.linkedin.com/jobs/view/3972731890/?trk=jobs_biz_prem_srch,2024-07-10 22:47:10+00:00
Data Engineer/Scientist,https://www.linkedin.com/company/delartech,79912276,Delart,,246.0,"Menlo Park, CA",Full-time,Entry level,Computer Networking,"401(k), Medical insurance, Disability insurance",https://www.linkedin.com/jobs/view/3969559142/?trk=jobs_biz_prem_srch,2024-07-10 22:41:49+00:00
Encounters Data Analyst II,https://www.linkedin.com/company/lacarehealth,27625,L.A. Care Health Plan,,257.0,"Los Angeles, CA",Full-time,Entry level,Hospitals and Health Care,,https://www.linkedin.com/jobs/view/3954474067/?trk=jobs_biz_prem_srch,2024-07-11 08:50:28+00:00
Data Scientist,https://www.linkedin.com/company/talascend,163654,Talascend - Where Opportunities Await.,,,"Santa Clara, CA",Contract,Entry level,Staffing and Recruiting,"401(k), Disability insurance",https://www.linkedin.com/jobs/view/3969559444/?trk=jobs_biz_prem_srch,2024-07-10 22:57:51+00:00
Data Scientist,https://www.linkedin.com/company/fractal-analytics,26945,Fractal,,300.0,San Francisco Bay Area,Full-time,Mid-Senior level,"Technology, Information and Media, IT Services and IT Consulting, Business Consulting and Services",,https://www.linkedin.com/jobs/view/3969543084/?trk=jobs_biz_prem_srch,2024-07-10 19:58:28+00:00
Data Analyst,https://www.linkedin.com/company/crexi,6459490,Crexi,,230.0,"Los Angeles, California, United States",Full-time,Entry level,"Real Estate, Technology, Information and Internet",Vision insurance,https://www.linkedin.com/jobs/view/3969559008/?trk=jobs_biz_prem_srch,2024-07-10 22:30:49+00:00
Senior Data Scientist - Engagement,https://www.linkedin.com/company/nextdoor-com,1916708,Nextdoor,,842.0,"San Francisco, CA",Full-time,Mid-Senior level,"Technology, Information and Internet",,https://www.linkedin.com/jobs/view/3901705813/?trk=jobs_biz_prem_srch,2024-07-10 18:50:15+00:00
Principal Data Scientist - Emerging ML,https://www.linkedin.com/company/capital-one,1419,Capital One,,1.0,"San Francisco, CA",Full-time,Entry level,Financial Services,,https://www.linkedin.com/jobs/view/3972789582/?trk=jobs_biz_prem_srch,2024-07-11 01:26:24+00:00
