JobTitle,CompanyURL2,CompanyId,CompanyName,SalaryInsights,NoOfApplicants,CompanyLocation,EmploymentStatus,ExperienceLevel,Industries,Benefits,JobPostingUrl,PostedDate
Business Intelligence (BI) Analyst,https://www.linkedin.com/company/robert-half-international,1681,Robert Half,,,"Newport Beach, CA",Full-time,Entry level,Staffing and Recruiting,"401(k), Disability insurance",https://www.linkedin.com/jobs/view/3972567589/?trk=jobs_biz_prem_srch,2024-07-10 20:14:41+00:00
Senior Data Engineer,https://www.linkedin.com/company/jobot,18860134,Jobot,,2.0,"Carlsbad, CA",Full-time,,"IT Services and IT Consulting, Software Development",401(k),https://www.linkedin.com/jobs/view/3971691800/?trk=jobs_biz_prem_srch,2024-07-10 22:05:00+00:00
Data Scientist,https://www.linkedin.com/company/req-solutions-pvt-ltd,13613470,REQ Solutions,,30.0,"San Francisco, CA",Contract,Mid-Senior level,Software Development,,https://www.linkedin.com/jobs/view/3972574242/?trk=jobs_biz_prem_srch,2024-07-10 20:21:27+00:00
Staff Business Data Analyst,https://www.linkedin.com/company/intuit,1666,Intuit,,64.0,"San Diego, CA",Full-time,Mid-Senior level,Software Development,,https://www.linkedin.com/jobs/view/3972090646/?trk=jobs_biz_prem_srch,2024-07-10 16:16:15+00:00
Data Scientist,https://www.linkedin.com/company/dice,6849,Dice,,8.0,"San Francisco, CA",Full-time,Entry level,Software Development,401(k),https://www.linkedin.com/jobs/view/3969500193/?trk=jobs_biz_prem_srch,2024-07-10 15:28:14+00:00
"Signals Data Analyst, Senior with Security Clearance",https://www.linkedin.com/company/clearancejobs,1007957,ClearanceJobs,,7.0,"Los Angeles, CA",Part-time,Mid-Senior level,Defense and Space Manufacturing,"401(k), Tuition assistance",https://www.linkedin.com/jobs/view/3971409051/?trk=jobs_biz_prem_srch,2024-07-10 15:27:30+00:00
Data Analyst,https://www.linkedin.com/company/dice,6849,Dice,,14.0,"Camp Pardee, CA",Full-time,Entry level,Software Development,,https://www.linkedin.com/jobs/view/3968896793/?trk=jobs_biz_prem_srch,2024-07-10 15:28:12+00:00
Data Engineer for Marketing,https://www.linkedin.com/company/dice,6849,Dice,,16.0,"Santa Clara, CA",Contract,Entry level,Software Development,,https://www.linkedin.com/jobs/view/3968898905/?trk=jobs_biz_prem_srch,2024-07-10 15:27:54+00:00
Data Scientist,https://www.linkedin.com/company/kforce,3076,Kforce Inc,,87.0,"Oakland, CA",Contract,Associate,"Alternative Medicine, Hospitals and Health Care, Mental Health Care","Vision insurance, Disability insurance",https://www.linkedin.com/jobs/view/3972077253/?trk=jobs_biz_prem_srch,2024-07-10 15:08:16+00:00
Data Analyst III,https://www.linkedin.com/company/orangepeople,2708565,orangepeople,,,"Atherton, CA",Full-time,Mid-Senior level,IT Services and IT Consulting,"Dental insurance, Vision insurance, Medical insurance",https://www.linkedin.com/jobs/view/3972259831/?trk=jobs_biz_prem_srch,2024-07-10 18:18:53+00:00
Senior Data Analyst,https://www.linkedin.com/company/abridgehq,28987090,Abridge,,,"San Francisco, CA",Full-time,Mid-Senior level,Hospitals and Health Care,,https://www.linkedin.com/jobs/view/3972575540/?trk=jobs_biz_prem_srch,2024-07-10 20:42:11+00:00
Water Data Analyst,https://www.linkedin.com/company/stanford-university,1792,Stanford University,,152.0,"Stanford, CA",Full-time,Entry level,Higher Education,,https://www.linkedin.com/jobs/view/3971502240/?trk=jobs_biz_prem_srch,2024-07-10 21:06:56+00:00
Staff Data Scientist / Gaming / Onsite in Los Angeles (Culver City),https://www.linkedin.com/company/dice,6849,Dice,,8.0,"Los Angeles, CA",Full-time,Entry level,Software Development,"Medical insurance, 401(k)",https://www.linkedin.com/jobs/view/3967340118/?trk=jobs_biz_prem_srch,2024-07-10 15:27:31+00:00
Product Data Scientist,https://www.linkedin.com/company/pave,30617798,Pave,,546.0,San Francisco Bay Area,Full-time,Entry level,Software Development,"Commuter benefits, Vision insurance",https://www.linkedin.com/jobs/view/3953813041/?trk=jobs_biz_prem_srch,2024-07-10 13:47:46+00:00
Senior Data Analyst - Residential Lending,https://www.linkedin.com/company/city-national-bank,163069,City National Bank,,8.0,"Los Angeles, CA",Full-time,,Banking,,https://www.linkedin.com/jobs/view/3972586252/?trk=jobs_biz_prem_srch,2024-07-10 21:23:34+00:00
Senior Business Data Analyst,https://www.linkedin.com/company/east-west-bank,14528,East West Bank,,1426.0,"Pasadena, CA",Full-time,Mid-Senior level,Banking,,https://www.linkedin.com/jobs/view/3854377672/?trk=jobs_biz_prem_srch,2024-07-10 11:22:07+00:00
Senior Staff Data Engineer,https://www.linkedin.com/company/cepheid,14849,Cepheid,,56.0,"Sunnyvale, CA",Full-time,,Medical Equipment Manufacturing,"401(k), Vision insurance",https://www.linkedin.com/jobs/view/3952992705/?trk=jobs_biz_prem_srch,2024-07-10 10:22:36+00:00
Senior Data Scientist - Marketing,https://www.linkedin.com/company/nextdoor-com,1916708,Nextdoor,,1289.0,"San Francisco, CA",Full-time,Mid-Senior level,"Technology, Information and Internet",,https://www.linkedin.com/jobs/view/3912844864/?trk=jobs_biz_prem_srch,2024-07-10 18:51:11+00:00
Data Analyst,https://www.linkedin.com/company/russell-tobin-&-associates-llc,827183,Russell Tobin,,363.0,"Sunnyvale, CA",Contract,Entry level,Staffing and Recruiting,"401(k), Disability insurance",https://www.linkedin.com/jobs/view/3952741194/?trk=jobs_biz_prem_srch,2024-07-10 09:14:03+00:00
Data Scientist,https://www.linkedin.com/company/fractal-analytics,26945,Fractal,,95.0,San Francisco Bay Area,Contract,Mid-Senior level,Business Consulting and Services,,https://www.linkedin.com/jobs/view/3969541124/?trk=jobs_biz_prem_srch,2024-07-10 20:02:34+00:00
Data Scientist,https://www.linkedin.com/company/snowflake-computing,3653845,Snowflake,,737.0,"San Mateo, CA",Full-time,Entry level,Software Development,"401(k), Disability insurance",https://www.linkedin.com/jobs/view/3954032932/?trk=jobs_biz_prem_srch,2024-07-10 09:49:00+00:00
Data Engineer,https://www.linkedin.com/company/jobot,18860134,Jobot,,37.0,"Los Angeles, CA",Full-time,,"IT Services and IT Consulting, Software Development",401(k),https://www.linkedin.com/jobs/view/3970610867/?trk=jobs_biz_prem_srch,2024-07-10 06:26:02+00:00
Staff Data Scientist - Growth,https://www.linkedin.com/company/nextdoor-com,1916708,Nextdoor,,343.0,"San Francisco, CA",Full-time,Mid-Senior level,"Technology, Information and Internet",,https://www.linkedin.com/jobs/view/3916970161/?trk=jobs_biz_prem_srch,2024-07-10 18:54:22+00:00
Senior HCM Reporting & Analytics Consultant -  Workday Success Plans,https://www.linkedin.com/company/workday,17719,Workday,,27.0,San Francisco Bay Area,Full-time,,Software Development,,https://www.linkedin.com/jobs/view/3953332829/?trk=jobs_biz_prem_srch,2024-07-10 11:19:08+00:00
Data Center Engineer,https://www.linkedin.com/company/dice,6849,Dice,,10.0,"Santa Clara, CA",Full-time,Entry level,Software Development,,https://www.linkedin.com/jobs/view/3968175595/?trk=jobs_biz_prem_srch,2024-07-10 15:27:28+00:00
Data Analyst II,https://www.linkedin.com/company/tellus-solutions-inc,982542,"Tellus Solutions, Inc",,,"Irvine, CA",Contract,Associate,Pharmaceutical Manufacturing,,https://www.linkedin.com/jobs/view/3971886812/?trk=jobs_biz_prem_srch,2024-07-10 07:33:09+00:00
Data Analyst,https://www.linkedin.com/company/tdthornton,1313888,TD Thornton,,,San Diego Metropolitan Area,Full-time,,Business Consulting and Services,401(k),https://www.linkedin.com/jobs/view/3971855174/?trk=jobs_biz_prem_srch,2024-07-10 03:42:37+00:00
