JobTitle,CompanyURL2,CompanyId,CompanyName,SalaryInsights,NoOfApplicants,CompanyLocation,EmploymentStatus,ExperienceLevel,Industries,Benefits,JobPostingUrl,PostedDate
Data Scientist,https://www.linkedin.com/company/avantgardefoundry,35451449,AG Foundry - Recruiting & Staffing,,67.0,United States,Full-time,Mid-Senior level,Gambling Facilities and Casinos,,https://www.linkedin.com/jobs/view/3972518893/?trk=jobs_biz_prem_srch,2024-07-10 19:42:48+00:00
Data and Processing Systems Engineer ,https://www.linkedin.com/company/conde-group-inc,99386,"Conde Group, Inc.",,12.0,"Santa Clara, CA",Full-time,Mid-Senior level,Automation Machinery Manufacturing,,https://www.linkedin.com/jobs/view/3969544504/?trk=jobs_biz_prem_srch,2024-07-10 20:44:49+00:00
"Senior Data Scientist, Business Intelligence",https://www.linkedin.com/company/nextdoor-com,1916708,Nextdoor,,253.0,"San Francisco, CA",Full-time,Mid-Senior level,"Technology, Information and Internet",,https://www.linkedin.com/jobs/view/3961795912/?trk=jobs_biz_prem_srch,2024-07-10 18:49:32+00:00
"Senior Analyst, Business Intelligence",https://www.linkedin.com/company/healthmap-solutions,10442082,Healthmap Solutions,,51.0,United States,Full-time,Mid-Senior level,Hospitals and Health Care,,https://www.linkedin.com/jobs/view/3971446195/?trk=jobs_biz_prem_srch,2024-07-10 16:39:29+00:00
Senior Data Engineer,https://www.linkedin.com/company/panasonicwell,96913311,PanasonicWELL,,465.0,United States,Full-time,Mid-Senior level,Wellness and Fitness Services,"401(k), Disability insurance",https://www.linkedin.com/jobs/view/3948417466/?trk=jobs_biz_prem_srch,2024-07-10 18:15:03+00:00
Data Scientist,https://www.linkedin.com/company/fractal-analytics,26945,Fractal,,138.0,San Francisco Bay Area,Full-time,Mid-Senior level,"Technology, Information and Media, IT Services and IT Consulting, Business Consulting and Services",,https://www.linkedin.com/jobs/view/3969543084/?trk=jobs_biz_prem_srch,2024-07-10 19:58:28+00:00
Senior Data Engineer,https://www.linkedin.com/company/jobot,18860134,Jobot,,3.0,"Carlsbad, CA",Full-time,,"IT Services and IT Consulting, Software Development",401(k),https://www.linkedin.com/jobs/view/3971691800/?trk=jobs_biz_prem_srch,2024-07-10 22:05:00+00:00
Technical Data Analyst,https://www.linkedin.com/company/zortech,51628714,Zortech Solutions,,,"San Francisco, CA",Full-time,Entry level,Human Resources Services,,https://www.linkedin.com/jobs/view/3972515199/?trk=jobs_biz_prem_srch,2024-07-10 19:20:34+00:00
Senior Data Analyst,https://www.linkedin.com/company/bradsdeals-com,1073820,Brad's Deals,,,United States,Full-time,,"Technology, Information and Internet",401(k),https://www.linkedin.com/jobs/view/3972596329/?trk=jobs_biz_prem_srch,2024-07-10 21:37:19+00:00
Biostatistician/Sr. Biostatistician,https://www.linkedin.com/company/planet-pharma,2474662,Planet Pharma,,28.0,United States,Contract,Mid-Senior level,"Pharmaceutical Manufacturing, Biotechnology Research",,https://www.linkedin.com/jobs/view/3969538709/?trk=jobs_biz_prem_srch,2024-07-10 19:59:19+00:00
